# UNIQUE PLAYERS: 777
15906: 0
7522: 20
4224: 1
4130: 477
3140: 478
3010: 2
2968: 479
2518: 3
2514: 0,1
2220: 0,4
2208: 480
2190: 480,477,359
1895: 359
1688: 4
1648: 1,0
1472: 1,2
1470: 481
1252: 0,1,3
1230: 480,479,359
1196: 0,3
1186: 479,480,359
1174: 0,1,4
1098: 0,4,3
1048: 0,4,1
1048: 480,359,477
1032: 477,481,479
974: 0,1,2
970: 477,480,359
912: 0,3,1
896: 482
878: 480,359,479
778: 480,477
734: 5
700: 1,0,3
678: 4,0
678: 3,0
678: 479,477,481
654: 477,480
648: 477,479,481
636: 477,480,479
610: 0,3,4
594: 479,359,480
574: 20,477
568: 20,479
562: 1,0,4
554: 481,479,477
526: 3,0,1
520: 359,480,479
518: 0,2,1
518: 480,477,479
514: 0,2
514: 359,479,480
488: 477,359,480
462: 20,479,477
460: 477,20
458: 1,2,0
454: 479,480,477
442: 20,477,479
432: 359,480,477
426: 481,477,479
412: 20,477,481
404: 1,0,2
400: 480,359
392: 1,3,0
392: 480,479,477
388: 20,359
386: 0,2,4
386: 479,477
374: 479,20
369: 776
368: 4,0,1
364: 477,479,480
360: 477,479
358: 0,4,2
352: 479,481,477
350: 2,1
346: 0,1,5
344: 0,5,1
332: 359,477,480
324: 20,479,359
318: 479,20,477
316: 477,479,359
310: 479,477,480
310: 479,477,359
308: 20,479,480
306: 477,359,479
298: 359,480
294: 1,3
294: 479,477,20
292: 359,20
288: 0,4,5
278: 477,20,479
276: 477,479,20
274: 20,477,359
274: 480,477,20
272: 3,1,0
272: 0,2,3
270: 477,359
266: 20,359,479
264: 0,3,2
262: 4,0,3
258: 1,4,0
258: 1,2,3
258: 20,359,477
248: 2,0
248: 359,479,477
244: 480,20
240: 479,359,477
236: 3,0,4
230: 480,359,20
230: 20,481,477
230: 20,480,359
226: 478,20
222: 20,480
220: 480,479
208: 0,5
208: 359,477
202: 2,0,1
200: 0,2,5
200: 20,359,480
198: 0,3,5
198: 3,1
194: 20,477,480
192: 477,481
190: 4,1,0
188: 3,4,0
188: 1,0,5
186: 0,5,3
186: 359,20,479
184: 479,359,20
184: 477,20,481
184: 477,359,20
