# UNIQUE PLAYERS: 5
34: 1
23: 2
13: 1,2,3,4,5
11: 1,2
9: 2,1,3,4,5
9: 2,3
8: 1,3,2,4,5
8: 2,1
7: 1,2,4,3,5
6: 3,1,2,4,5
6: 3,2,1
6: 1,4
5: 2,3,1,4,5
5: 3,2,1,4,5
4: 2,1,4,3,5
4: 3,2,4,1,5
4: 3,1,2,4
4: 2,4
4: 4,2
4: 3,1
4: 3,2
4: 1,3
3: 1,3,4,2,5
3: 4,1,2,3,5
3: 1,4,2,3,5
3: 4,2,1,3,5
3: 2,1,4,3
3: 4,1,2,3
3: 1,2,4,3
3: 4,1
2: 4,1,3,2,5
2: 2,4,1,3,5
2: 1,2,3,5,4
2: 2,3,4,1
2: 2,4,1,3
2: 1,4,2,3
2: 1,2,3,4
2: 2,1,3,4
2: 2,1,4
2: 2,1,3
2: 4,1,2
2: 5,2
2: 3
2: 5
1: 1,5,3,2,4
1: 3,2,5,1,4
1: 3,1,4,2,5
1: 3,4,2,1,5
1: 5,3,2,4,1
1: 5,2,3,4,1
1: 1,2,4,5,3
1: 4,3,2,5,1
1: 1,4,3,2,5
1: 1,3,2,5,4
1: 2,1,3,5,4
1: 4,3,2,1,5
1: 1,4,2,5,3
1: 2,4,3,5,1
1: 1,4,5,3,2
1: 1,4,5,2,3
1: 3,2,1,4
1: 4,1,3,2
1: 3,2,1,5
1: 1,2,3
1: 1,4,3
1: 1,3,4
1: 2,5,3
1: 1,4,2
1: 1,5,2
1: 2,1,5
1: 1,3,2
1: 4,2,1
1: 2,4,1
1: 5,2,3
1: 2,3,1
1: 2,5
