# UNIQUE PLAYERS: 19
4: 16,17,14
2: 0,1
2: 13,14,15,16,17,18
2: 16,15,13,14,17,18
2: 16,15,18,13,14,17
2: 15,14,13,16,18,17
2: 16,14,18,13,17,15
2: 14,16,18,15,13,17
2: 13,16,14,15,18,17
2: 13,16,14,18,17,15
2: 15,14,16,13,18,17
2: 13,16,14,15,17,18
2: 16,14,13,15,17,18
2: 13,16,14,17,15,18
2: 15,16,14,13,17,18
2: 14,16,15,18,17,13
2: 14,16,17,15,13,18
2: 14,17,13,16,15,18
2: 14,16,17,18,13,15
2: 15,13,16,14,17,18
2: 14,17,16,18,13,15
2: 17,14,18,16,13,15
2: 18,16,17,13,14,15
2: 14,16,18,17,15,13
2: 17,14,16,18,15,13
2: 17,15,13,16,14,18
2: 13,16,15,17,14,18
2: 14,17,18,16,13,15
2: 16,14,17,13,15,18
2: 15,14,13,16,17,18
2: 17,13,16,14,15,18
2: 17,14,13,16,15,18
2: 14,15,13,17,18,16
2: 17,14,16,18,13,15
2: 14,13,16,17,18
2: 16,13,14,17,18
2: 14,17,16,18,13
2: 16,17,18,13,14
2: 17,16,14,18,13
2: 13,14,16,17
2: 14,16,17,13
2: 17,13,16,14
2: 13,17,16
2: 18,17,13
2: 14,17,16
2: 14,17,18
2: 16,17
1: 2,1,3
1: 0,4,5
1: 0,6,1
1: 1,6,7
1: 7,2,8
1: 0,8,9
1: 7,2,4
1: 10,11,7
1: 0,2,9
1: 10,12,4
1: 0,8
1: 5
