Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Rio,2016,100m,Backstroke,0,Men,USA,Ryan Murphy,51.970,1
Rio,2016,100m,Backstroke,0,Men,CHN,Jiayu Xu,52.310,2
Rio,2016,100m,Backstroke,0,Men,USA,David Plummer,52.400,3
Rio,2016,100m,Backstroke,0,Men,AUS,Mitchell Larkin,52.430,4
Rio,2016,100m,Backstroke,0,Men,FRA,Camille Lacourt,52.700,4
Rio,2016,100m,Backstroke,0,Men,RUS,Evgeny Rylov,52.740,4
Rio,2016,100m,Backstroke,0,Men,JPN,Ryosuke Irie,53.420,4
Rio,2016,100m,Backstroke,0,Men,ROU,Robert Glinta,53.500,4
Rio,2016,100m,Backstroke,0,Women,HUN,Katinka Hosszu,58.450,1
Rio,2016,100m,Backstroke,0,Women,USA,Kathleen Baker,58.750,2
Rio,2016,100m,Backstroke,0,Women,CAN,Kylie Masse,58.760,3
Rio,2016,100m,Backstroke,0,Women,CHN,Yuanhui Fu,58.760,3
Rio,2016,100m,Backstroke,0,Women,DEN,Mie Nielsen,58.800,4
Rio,2016,100m,Backstroke,0,Women,USA,Olivia Smoliga,58.950,4
Rio,2016,100m,Backstroke,0,Women,AUS,Emily Seebohm,59.190,4
Rio,2016,100m,Backstroke,0,Women,AUS,Madison Wilson,59.230,4
Rio,2016,100m,Breaststroke,0,Men,GBR,Adam Peaty,57.130,1
Rio,2016,100m,Breaststroke,0,Men,RSA,Cameron Van Der Burgh,58.690,2
Rio,2016,100m,Breaststroke,0,Men,USA,Cody Miller,58.870,3
Rio,2016,100m,Breaststroke,0,Men,USA,Kevin Cordes,59.220,4
Rio,2016,100m,Breaststroke,0,Men,BRA,Joao Gomes,59.310,4
Rio,2016,100m,Breaststroke,0,Men,JPN,Yasuhiro Koseki,59.370,4
Rio,2016,100m,Breaststroke,0,Men,BRA,Felipe Franca,59.380,4
Rio,2016,100m,Breaststroke,0,Men,KAZ,Dmitriy Balandin,59.950,4
Rio,2016,100m,Breaststroke,0,Women,USA,Lilly King,00:01:04.930000,1
Rio,2016,100m,Breaststroke,0,Women,RUS,Yuliya Efimova,00:01:05.500000,2
Rio,2016,100m,Breaststroke,0,Women,USA,Katie Meili,00:01:05.690000,3
Rio,2016,100m,Breaststroke,0,Women,CHN,Jinglin Shi,00:01:06.370000,4
Rio,2016,100m,Breaststroke,0,Women,CAN,Rachel Nicol,00:01:06.680000,4
Rio,2016,100m,Breaststroke,0,Women,ISL,Hrafnhildur Luthersdottir,00:01:07.180000,4
Rio,2016,100m,Breaststroke,0,Women,LTU,Ruta Meilutyte,00:01:07.320000,4
Rio,2016,100m,Breaststroke,0,Women,JAM,Alia Atkinson,00:01:08.100000,4
Rio,2016,100m,Butterfly,0,Men,SGP,Joseph Schooling,50.390,1
Rio,2016,100m,Butterfly,0,Men,USA,Michael Phelps,51.140,2
Rio,2016,100m,Butterfly,0,Men,RSA,Chad Le Clos,51.140,2
Rio,2016,100m,Butterfly,0,Men,HUN,Laszlo Cseh,51.140,2
Rio,2016,100m,Butterfly,0,Men,CHN,Zhuhao Li,51.260,4
Rio,2016,100m,Butterfly,0,Men,FRA,Mehdy Metella,51.580,4
Rio,2016,100m,Butterfly,0,Men,USA,Tom Shields,51.730,4
Rio,2016,100m,Butterfly,0,Men,RUS,Aleksandr Sadovnikov,51.840,4
Rio,2016,100m,Butterfly,0,Women,SWE,Sarah Sjostrom,55.480,2
Rio,2016,100m,Butterfly,0,Women,CAN,Penny Oleksiak,56.460,3
Rio,2016,100m,Butterfly,0,Women,USA,Dana Vollmer,56.630,4
Rio,2016,100m,Butterfly,0,Women,CHN,Ying Lu,56.760,4
Rio,2016,100m,Butterfly,0,Women,JPN,Rikako Ikee,56.860,4
Rio,2016,100m,Butterfly,0,Women,AUS,Emma Mckeon,57.050,4
Rio,2016,100m,Butterfly,0,Women,DEN,Jeanette Ottesen,57.170,4
Rio,2016,100m,Butterfly,0,Women,USA,Kelsi Worrell,,5
Rio,2016,100m,Freestyle,0,Men,AUS,Kyle Chalmers,47.580,1
Rio,2016,100m,Freestyle,0,Men,BEL,Pieter Timmers,47.800,2
Rio,2016,100m,Freestyle,0,Men,USA,Nathan Adrian,47.850,3
Rio,2016,100m,Freestyle,0,Men,CAN,Santo Condorelli,47.880,4
Rio,2016,100m,Freestyle,0,Men,GBR,Duncan Scott,48.010,4
Rio,2016,100m,Freestyle,0,Men,USA,Caeleb Dressel,48.020,4
Rio,2016,100m,Freestyle,0,Men,AUS,Cameron Mcevoy,48.120,4
Rio,2016,100m,Freestyle,0,Men,BRA,Marcelo Chierighini,48.410,4
Rio,2016,100m,Freestyle,0,Women,USA,Simone Manuel,52.700,1
Rio,2016,100m,Freestyle,0,Women,CAN,Penny Oleksiak,52.700,1
Rio,2016,100m,Freestyle,0,Women,SWE,Sarah Sjostrom,52.990,3
Rio,2016,100m,Freestyle,0,Women,AUS,Bronte Campbell,53.040,4
Rio,2016,100m,Freestyle,0,Women,NED,Ranomi Kromowidjojo,53.080,4
Rio,2016,100m,Freestyle,0,Women,AUS,Cate Campbell,53.240,4
Rio,2016,100m,Freestyle,0,Women,USA,Abbey Weitzeil,53.300,4
Rio,2016,100m,Freestyle,0,Women,DEN,Jeanette Ottesen,53.360,4
Rio,2016,1500m,Freestyle,0,Men,ITA,Gregorio Paltrinieri,00:14:34.570000,1
Rio,2016,1500m,Freestyle,0,Men,USA,Connor Jaeger,00:14:39.480000,2
Rio,2016,1500m,Freestyle,0,Men,ITA,Gabriele Detti,00:14:40.860000,3
Rio,2016,1500m,Freestyle,0,Men,USA,Jordan Wilimovsky,00:14:45.030000,4
