Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
London,1948,100m,Backstroke,0,Men,USA,Allen Mcintyre Stack,00:01:06.400000,1
London,1948,100m,Backstroke,0,Men,USA,Robert Elmer Cowell,00:01:06.500000,2
London,1948,100m,Backstroke,0,Men,FRA,Georges Vallerey Jr.,00:01:07.800000,3
London,1948,100m,Backstroke,0,Men,ARG,Mario Chavez,00:01:09.000000,4
London,1948,100m,Backstroke,0,Men,MEX,Clemente Mejia Avila,00:01:09.000000,4
London,1948,100m,Backstroke,0,Men,RSA,Jackie Wiid,00:01:09.100000,4
London,1948,100m,Backstroke,0,Men,GBR,William John Brockway,00:01:09.200000,4
London,1948,100m,Backstroke,0,Men,GBR,Albert David Kinnear,00:01:09.600000,4
London,1948,100m,Backstroke,0,Women,DEN,Karen Margrethe Harup,00:01:14.400000,1
London,1948,100m,Backstroke,0,Women,USA,Suzanne Winona Zimmerman,00:01:16.000000,2
London,1948,100m,Backstroke,0,Women,AUS,Judith Joy Davies,00:01:16.700000,3
London,1948,100m,Backstroke,0,Women,HUN,Ilona Novak,00:01:18.400000,4
London,1948,100m,Backstroke,0,Women,NED,Hendrika Anna-Maria Van Der Horst,00:01:18.800000,4
London,1948,100m,Backstroke,0,Women,NED,Dirkje Van Ekris,00:01:18.900000,4
London,1948,100m,Backstroke,0,Women,USA,Muriel Jane Mellon,00:01:19.000000,4
London,1948,100m,Backstroke,0,Women,NED,Greetje Gaillard,00:01:19.100000,4
London,1948,100m,Freestyle,0,Men,USA,Walter Stephen Ris,57.300,2
London,1948,100m,Freestyle,0,Men,USA,Alan Robert Ford,57.800,3
London,1948,100m,Freestyle,0,Men,HUN,Geza Kadas,58.100,4
London,1948,100m,Freestyle,0,Men,USA,Keith Eyre Carter,58.300,4
London,1948,100m,Freestyle,0,Men,FRA,Alexandre Jany,58.300,4
London,1948,100m,Freestyle,0,Men,SWE,Per-Olof Olsson,59.300,4
London,1948,100m,Freestyle,0,Men,HUN,Zoltan Szilard,59.600,4
London,1948,100m,Freestyle,0,Men,EGY,Taha Yussuf El Gamal,00:01:00.500000,1
London,1948,100m,Freestyle,0,Women,DEN,Greta Marie Andersen,00:01:06.300000,1
London,1948,100m,Freestyle,0,Women,USA,Ann Elisabeth Curtis,00:01:06.500000,2
London,1948,100m,Freestyle,0,Women,NED,Marie-Louise Jean Linssen-Vaessen,00:01:07.600000,3
London,1948,100m,Freestyle,0,Women,DEN,Karen Margrethe Harup,00:01:08.100000,4
London,1948,100m,Freestyle,0,Women,SWE,Ingegärd Fredin,00:01:08.400000,4
